,car_I,num_agents,num_samples,frac_car_I,frac_agents_samples,frac_samples_agents
238,35.0,35.0,5.0,1.0,7.0,0.14285714285714285
239,35.0,35.0,5.0,1.0,7.0,0.14285714285714285
240,2.0,45.0,5.0,0.044444444444444446,9.0,0.1111111111111111
241,45.0,45.0,5.0,1.0,9.0,0.1111111111111111
242,45.0,45.0,5.0,1.0,9.0,0.1111111111111111
243,1.0,45.0,5.0,0.022222222222222223,9.0,0.1111111111111111
244,1.0,45.0,5.0,0.022222222222222223,9.0,0.1111111111111111
245,45.0,45.0,5.0,1.0,9.0,0.1111111111111111
246,45.0,45.0,5.0,1.0,9.0,0.1111111111111111
247,45.0,45.0,5.0,1.0,9.0,0.1111111111111111
248,43.0,45.0,5.0,0.9555555555555556,9.0,0.1111111111111111
249,43.0,45.0,5.0,0.9555555555555556,9.0,0.1111111111111111
250,41.0,55.0,5.0,0.7454545454545455,11.0,0.09090909090909091
251,1.0,55.0,5.0,0.01818181818181818,11.0,0.09090909090909091
252,2.0,55.0,5.0,0.03636363636363636,11.0,0.09090909090909091
253,55.0,55.0,5.0,1.0,11.0,0.09090909090909091
254,3.0,55.0,5.0,0.05454545454545454,11.0,0.09090909090909091
255,2.0,55.0,5.0,0.03636363636363636,11.0,0.09090909090909091
256,1.0,55.0,5.0,0.01818181818181818,11.0,0.09090909090909091
257,9.0,55.0,5.0,0.16363636363636364,11.0,0.09090909090909091
258,29.0,55.0,5.0,0.5272727272727272,11.0,0.09090909090909091
259,55.0,55.0,5.0,1.0,11.0,0.09090909090909091
260,45.0,65.0,5.0,0.6923076923076923,13.0,0.07692307692307693
261,1.0,65.0,5.0,0.015384615384615385,13.0,0.07692307692307693
262,2.0,65.0,5.0,0.03076923076923077,13.0,0.07692307692307693
263,3.0,65.0,5.0,0.046153846153846156,13.0,0.07692307692307693
264,1.0,65.0,5.0,0.015384615384615385,13.0,0.07692307692307693
265,1.0,65.0,5.0,0.015384615384615385,13.0,0.07692307692307693
266,1.0,65.0,5.0,0.015384615384615385,13.0,0.07692307692307693
267,4.0,65.0,5.0,0.06153846153846154,13.0,0.07692307692307693
268,8.0,65.0,5.0,0.12307692307692308,13.0,0.07692307692307693
269,3.0,65.0,5.0,0.046153846153846156,13.0,0.07692307692307693
270,2.0,75.0,5.0,0.02666666666666667,15.0,0.06666666666666667
271,14.0,75.0,5.0,0.18666666666666668,15.0,0.06666666666666667
272,2.0,75.0,5.0,0.02666666666666667,15.0,0.06666666666666667
273,6.0,75.0,5.0,0.08,15.0,0.06666666666666667
